id,full_name,gender,height,weight
278,"Mohamed Abdul Hadj",M,0,0
279,"Jefri Kiko Bolkiah Abdul Hakeem",M,172,90
280,"Mohamed Abdul Hamid",M,175,55
282,"Hadi Abdul Jabbar",M,180,118
283,"Mohamed Abed Abdul Jawad",M,169,65
284,"Anouar Abdul Kader",M,0,0
286,"Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem",M,169,60
287,"Taha Abdul Karim",M,156,59
288,"Masoud Abdul Khamis Al-Rahman",M,176,68
289,"Abdul Haji Abdul Latheef",M,168,54
290,"Fatima Abdul Majeed Hameed Al-Kirashi",F,0,0
291,"Majed Ahmed Abdul Mohamed",M,172,70
292,"Firouz Abdul Mohammadian",M,178,74
293,"Hussam Abdul Rahman",M,175,80
295,"Suleman Abdul Rahman",M,174,55
296,"Zambrose Abdul Rahman",M,173,64
297,"Lala Abdul Rashid",M,169,91
298,"Muhammad Abdul Rashid",M,181,72
299,"Dana Abdul Razak (Hussain-)",F,163,56
304,"Rauf Abdul Seoud",M,0,0
305,"Samir Ahmed Abdul Shakour",M,180,72
306,"Nabil Abdul Tahlak",M,0,0
307,"Fahmi Ahmed Abdul Wahab Al-Tahri",M,0,0
308,"Mohamed Abdul Wahab Al-Salah",M,0,0
309,"Qazi Abdul Waheed",M,0,0
310,"Patmawati Abdul Wahid",F,158,58
311,"Haidar Abdul-Amir Hassan",M,185,80
312,"Haidar Abdul-Razzaq Hassan",M,175,75
313,"Lawal Kolawole "Kola"" Abdulai"",M,172,66
314,"Rukayatu "Ruky"" Abdulai"",F,180,59
315,"Mona Ahmad Abdulaziz Hassanein",F,166,61
316,"Zagalav Abdulbekovich Abdulbekov",M,160,62
317,"Roosevelt M. Abdulgafur",M,181,73
318,"Ahmed Abdulkareem Ahmed",M,0,0
319,"Gamal Ahmed Abdulla",M,0,0
320,"Mohamed Sayed Abdulla",M,0,0
321,"Ahmad Hassan Abdullah",M,164,55
322,"Ahmed Ghanim Abdullah",M,184,79
323,"Aquil Hashim Abdullah (Shumate-)",M,187,83
324,"Atallah Abdullah",M,0,88
325,"Magdy Ahmed Abdullah",M,0,0
329,"Osama Abdullah",M,0,0
330,"Tewfik Abdullah",M,0,0
331,"Wan Azlan Abdullah",M,188,77
332,"Zarinah Abdullah",F,0,0
334,"Abubakar Sadiq Abdullahi",M,0,0
335,"Abdulqdir Abdullayev",M,188,91
336,"Arif Yadulla Abdullayev",M,164,60
337,"Mukhammad Kadyr Abdullayev",M,169,63
338,"Muminzhon Abdullayev",M,190,130
339,"Namiq Yadulla Abdullayev",M,167,55
340,"Laye Abdullayeva",F,170,47
341,"lqar Abdulov",M,175,74
342,"Abdullah Abdulrahman Zeyab",M,177,0
343,"Abir Abdulrahman Khalil Mahmoud Khalil",F,162,72
344,"Amer Abdulrahman Abdallah Hussain Al-Hammadi",M,168,68
345,"Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi",M,168,62
346,"Shaza Yahia Nazih Abdulrahman El-Sayed",F,170,59
347,"Najim Abdulrazak Al-Enazy",M,150,60
348,"Zeyad Abdulrazak Al-Khudhur Al-Enazy",M,181,66
349,"Waheed Abdulridha Waheed Karaawi",M,178,74
350,"Mohamed Abdultwab Ibrahim Abd El-Baki",M,162,69
351,"Julius Shareef Abdur-Rahim",M,202,104
352,"Sherzod Abdurahmonov",M,178,73
353,"Rasul Abduraim",M,183,74
354,"Bekzod Makhamadzhonovich Abdurakhmonov",M,172,74
355,"Mukhamadmurod Abdurakhmonov",M,192,117
356,"Adlan Aliyevich Abdurashidov",M,172,60
357,"Yusup Abdusalomov",M,170,84
359,"Andrey Khakimovich Abduvaliyev",M,190,125
360,"Dzhamolidin Mirgarifanovich Abduzhaparov",M,174,72
361,"Aybek Abdymomunov",M,162,54
362,"Isao Ko Abe",M,177,75
363,"Kazumi Abe",M,178,67
364,"Kazuo Abe",M,166,69
365,"Kinya Abe",M,168,68
366,"Kiyoshi Abe",M,167,62
367,"Masashi Abe",M,175,64
368,"Naoki Abe",M,173,68
369,"Osamu Abe",M,0,0
370,"Shigeaki Abe",M,178,70
371,"Shinnosuke Abe",M,179,91
372,"Sanshiro "Sonny"" Abe"",M,166,57
373,"Tadashi Abe",M,190,80
374,"Tadatoshi Abe",M,170,60
375,"Wakako Abe",F,168,60
376,"Yoshiyuki Abe",M,175,67
377,"Yuki Abe",M,177,75
379,"Addis Abebe",M,160,50
380,"Biruk Abebe",M,173,62
381,"Benaissa Abed",M,170,51
382,"Soha Abed Elaal",F,0,0
383,"Mojtaba Abedini Shormasti",M,180,83
384,"Thophile Abega Mbida",M,0,0
385,"Max "Xam"" Abegglen"",M,0,0
386,"Alexandre Abeid",M,194,92
387,"Sonia Abejn Esteban",F,169,48
388,"Abel Carlos da Silva Braga",M,190,73
389,"Adolf Gaston Abel",M,0,0
390,"Brooke Abel",F,163,52
391,"Clarence John Abel",M,185,102
392,"George Gordon Abel",M,0,0
393,"Gnther Abel",M,183,80
394,"Irene Abel",F,160,48
395,"Jennifer Abel",F,160,62
396,"Katja Abel",F,165,55
397,"Mara Abel Diguez",F,163,46
398,"Roger Abel",M,0,0
399,"Egil Sten Abel",M,0,0
400,"Yaritza Abel Rojas",F,0,62
401,"Abelardo Fernndez Antua",M,0,0
402,"Arthur Abele",M,184,85
403,"Ruth Abeles",F,153,48
404,"Louis Grenville "Lou"" Abell"",M,0,0
405,"Jos Javier Abella Fanjul",M,176,66
406,"Ramn Neptuno Abella Caside",M,0,0
407,"Ral Daniel Abella",M,0,0
408,"Alfonso Abelln Lpez",M,174,63
409,"Juan Luis Abelln Pallahi",M,0,0
410,"Edwige Marie Abna Fouda",F,173,61
411,"Gezahgne Abera",M,166,58
412,"Tesfaye Abera Dibaba",M,192,68
413,"Hugo Ral Aberastegui",M,186,84
414,"Arvid berg",M,0,0
415,"Bjrn Olof Conny berg",M,181,76
416,"Nils Georg berg",M,181,78
417,"Sara Helena berg",F,190,73
418,"Karl Konrad berg",M,0,0
419,"Majken berg",F,170,60
420,"Olof Viktor "Olle"" berg"",M,181,78
421,"Mohamed Aberhoune",M,187,75
422,"Julianne "Anne"" Abernathy"",F,165,75
423,"Michael Brent Abernathy",M,182,84
424,"Moira Abernethy (-Ford)",F,0,0
425,"Salim Abes",M,0,0
426,"Edme Abetel (-Barr)",F,0,0
427,"Pasqualino Abeti",M,173,66
428,"Elvan Abeylegesse",F,159,40
429,"Ruwani Abeymanne",F,160,53
430,"Matthew Duncan Abeysinghe",M,180,74
431,"Narek Abgaryan",M,166,52
432,"Koutoua Francis Abia",M,180,80
433,"Pablo Abin Vicen",M,177,68
434,"David Abibssira",M,179,63
435,"Silke Abicht",F,156,46
436,"Haithem Abid",M,179,72
437,"Younis Abid Sadkhan",M,0,0
438,"Jaiye Abidoye",M,0,0
439,"Sagat Abikeyeva",F,160,78
440,"Mitsuhiro Abiko",M,169,62
441,"Tomomi Abiko",F,173,53
442,"Catherine "Kate"" Abilla Awino"",F,162,56
443,"Ismail Abilov (-Nizamolu)",M,172,82
444,"Camille Anne Franoise Abily",F,168,60
445,"Endurance Abinuwa",F,159,54
446,"Bode Abiodun",M,170,68
447,"Firmin Abissi",M,159,54
448,"Sarah Abitbol",F,150,43
449,"Inga Eduardovna Abitova",F,164,58
450,"Ceyhun Abiyev",M,163,48
451,"Diana Monteiro Abla",F,175,75
452,"Enver Nazymovych Ablaiev",M,169,68
453,"Leslie Ablett",M,0,0
454,"Edgar Allen "Ed"" Ablowich"",M,182,68
455,"Denis Mikhaylovich Ablyazin",M,161,62
456,"Karin Abma",F,174,62
457,"Thorine Christelle Aboa Mbeza",F,182,78
458,"Felix Ahmed Aboagye",M,176,70
459,"Bukola Dammy Abogunloko",F,170,53
460,"Viktor Andreyevich Aboimov",M,190,78
461,"Mohamed Aboker",M,175,61
462,"Ilze bola",F,169,60
463,"Agnese boltia",F,166,60
464,"Abdul Razzak Aboobakur",M,168,59
465,"Matthew "Matt"" Abood"",M,197,92
466,"Piroska Abos Gvorgyzakab",F,0,0
467,"Jean-Pierre Abossolo-Ze",M,0,0
468,"Abdelhalim Muhammad Abou",M,210,88
469,"Tarek Abou Al Dahab",M,170,64
470,"Bachir Hani Abou Assi",M,175,74
471,"Ashraf Abou El-Hassan",M,186,86
472,"Galal El-Din Abdel Meguid Abou El-Kheir",M,0,0
473,"Magdy Abou El-Magd",M,188,85
474,"Essameldin Abou El-Nein",M,205,102
475,"Abdel Khlik Abou El-Yazi",M,0,0
476,"Mohamed Moustafa Abou Elea",M,168,54
477,"Mahmoud Abou Elelaa",M,181,76
478,"Mohammed Tawfiq Abou Habaga",M,0,0
479,"Zaid Abou Hamed",M,182,79
480,"Youssef Kamel Mohamed Abou Ouf",M,0,0
481,"Gaber Mooti Abou Zeid",M,187,82
482,"Taher Abou Zeid Sayid Amer",M,0,0
483,"Ahmed Farid Abou-Shadi",M,0,0
484,"Abdel Fattah Abou-Shanab",M,0,0
485,"Sadoon Mohamed Aboub",M,170,48
486,"Zakaria Aboub",M,171,65
488,"Ibrahim Mohamedin Aboubaker",M,190,65
489,"Ahmed Ghmin Aboud",M,170,51
490,"Fathi Khalifa Aboud",M,175,75
491,"Kamel Aboud",M,178,67
493,"Rabah Aboud",M,180,64
494,"Mamdouh Taha Al-Husseini Abouebaid",M,183,85
495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",M,188,87
496,"Haysam Farouk Abouelw",M,0,0
497,"Waguih Rauf Aboul Seoud",M,0,0
498,"El-Sayed Aboumedan",M,178,81
499,"Dany Abounaoum",M,0,0
500,"Sdonoud Janvier Abouta",M,0,0
501,"Mohamed Mohamed Mohamed Aboutrika",M,182,77
503,"Adeola Aboyade-Cole",M,193,78
504,"Cheryl Abplanalp",F,174,68
505,"Alexander "Alex"" Abraham (Steglitz)"",M,186,84
506,"Andrei Abraham",M,0,0
507,"Attila brahm",M,192,88
509,"Gary Abraham",M,175,64
510,"Melita Isidora Abraham Schssler",F,170,62
511,"Tadesse Abraham",M,178,61
512,"Shiny Kurisingal Abraham-Wilson",F,167,53
513,"Mariola Teresa Abrahamczyk (-Fronckowiak)",F,180,70
514,"Ara Abrahamian",M,191,84
515,"Stphan Abrahamian Gonzalez",M,0,0
516,"Clyde Abrahams",M,178,68
517,"Glen Abrahams Martnez",M,179,72
518,"Guy A. Abrahams",M,173,65
519,"Harold Maurice Abrahams",M,183,75
520,"Sidney Solomon Abrahams",M,0,0
521,"Isak Abrahamsen",M,0,0
522,"Knut Leo Abrahamsen",M,0,0
523,"Trond Sevg Abrahamsen",M,183,87
524,"Donald Robert Abrahamson, Jr.",M,162,67
525,"Richard Neal Abrahamson",M,190,88
526,"Kurt Christer Abrahamsson (-Abris)",M,187,77
527,"Erik Adolf Efraim Abrahamsson",M,172,61
528,"Karl Gran Abrahamsson",M,180,72
529,"Karl Gustaf Emanuel Abrahamsson",M,0,0
530,"Ulf Thommy Abrahamsson",M,185,81
531,"Fletcher Abram, Jr.",M,193,87
532,"Iason Abramashvili",M,176,82
533,"Yelena Vasilyevna Abramchuk (Kopets-)",F,182,95
534,"Oleksandr Volodymyrovych Abramenko",M,180,82
535,"Yevgeny Sergeyevich Abramenko",M,181,80
536,"Lahcen Abrami",M,0,0
537,"Ek'aterina Abramia",F,167,43
538,"Jernej Abrami",M,175,70
539,"Levan Abramishvili",M,181,84
540,"Andrey Vasilyevich Abramov",M,180,100
541,"Andrey Viktorovich Abramov",M,176,70
542,"Nikolay Kuzmich Abramov",M,164,59
543,"Pavel Sergeyevich Abramov",M,198,89
544,"Sergey Mikhaylovich Abramov",M,180,94
545,"Valery Aleksandrovich Abramov",M,173,61
546,"Inna Vladimirovna Abramova",F,172,63
547,"Nelli Mikhaylovna Abramova",F,171,60
548,"Yekaterina Konstantinovna Abramova",F,167,65
549,"Alen Abramovi",M,180,72
550,"Dmitry Vladimirovich Abramovich",M,182,96
551,"Aliyah Abrams",F,163,53
552,"Colin Winston Abrams",M,180,70
553,"John Charles Abrams",M,183,0
554,"Benik Abramyan",M,186,115
555,"Antnio da Cunha Meneses Martins Abrantes",M,176,68
556,"Arnaldo Lus Isaas Abrantes",M,183,72
557,"Arnaldo Joaquim Castro Abrantes",M,174,68
558,"David Abrard",M,187,81
559,"Tsvetelina Abrasheva",F,0,0
560,"Amir Abrashi",M,172,70
561,"Thomas Abratis",M,184,73
562,"Pawe Abratkiewicz",M,183,84
563,"Diogo Ferreira Tribolet de Abreu",M,183,73
564,"Eloy Abreu Morales",M,160,54
565,"Glauclio Serro Abreu",M,185,75
566,"Jos Filipe Abreu",M,159,64
567,"Emilio Julio Abreu",M,0,0
568,"Morais Santos Abreu",M,188,73
569,"Paulo Francisco Joazeiro de Abreu",M,176,78
570,"Pedro Abreu Pascal",M,200,88
571,"Rubn Abreu Rivero",M,177,71
572,"Rui Pinto de Abreu",M,177,64
573,"Franck Abrial",M,174,68
574,"rika Abril Surez",F,164,52
575,"Laura Valentina Abril Restrepo",F,162,50
576,"Alejandro "lex"" Abrines Redondo"",M,198,93
577,"Knut Richard brink",M,0,0
578,"Bourhan Abro",M,180,70
579,"Anastasiya Aleksandrovna Abrosimova",F,164,51
580,"Svetlana Olegovna Abrosimova",F,188,77
581,"Elisabeta Abrudeanu",F,0,0
582,"Saypulla Atavovich Absaidov",M,168,68
583,"Julien Absalon",M,180,68
584,"Ayele Abshero Biza",M,168,62
585,"Brian Kenneth Abshire",M,180,59
586,"Tobias Abstreiter",M,178,85
587,"Gudrun Maria Abt",F,178,61
588,"Aleksandr Viktorovich "Sasha"" Abt"",M,179,68
589,"Najmeh Abtin",F,160,57
590,"Mohamed Abu Abdullah",M,173,74
591,"Abdul Wahab Abu Al-Hail Labid",M,180,79
592,"Mohamed Ahmed Abu Ali",M,0,0
593,"Methkal Marouf Abu Drais",M,168,67
594,"Lailin Abu Hassan",M,0,0
595,"Majed Abu Maraheel",M,180,76
596,"Maher Abu Rmilah",M,172,72
598,"Omar Abu-Fares",M,178,69
599,"Bektas Abubakirov",M,165,54
600,"Nagmeldin Ali Abubakr",M,172,63
601,"Sanna Abubkheet",F,157,52
602,Abudoureheman,M,182,75
603,"Juma Abudu",M,170,59
604,"Folashade "Shade"" Abugan"",F,150,64
605,"Fernando J. Abugattas Aboino",M,190,80
606,"Roberto Abugattas Aboino",M,182,77
607,"Hamza Abughalia",M,0,85
608,"Ahmad Abughaush",M,178,68
609,"Fartun Abukar Omar",F,170,58
610,"Ginko Abukawa-Chiba",F,148,46
611,"Mohammed Abukhousa",M,170,67
612,"Mohammad Abulibdeh",M,183,68
613,"Kariman Abuljadayel",F,180,70
614,"Jos Manuel Abundis Sandoval",M,177,72
615,"Abdullah Abuqrais",M,163,65
616,"Shigeru Aburaya",M,163,51
617,"Cristobal Alejandro Aburto Tinoco",M,161,60
618,"Aleksandr Veniaminovich Abushakhmetov",M,189,81
619,"Magomedgasan Mingazhutdinovich Abushev",M,170,62
620,"Kanat Kalizhanovich Abutalipov",M,168,56
621,"Anas Sameer N. H. Abuyousuf",M,181,77
622,"Ali Abuzamia",M,185,80
623,"Irina Alekseyevna Abysova",F,175,56
625,"E. Doan Acarbay",M,0,0
626,"Alain Acart",M,175,67
627,"Andreea Roxana Acatrinei",F,150,40
628,"Jacques Accambray",M,194,125
629,"William Accambray",M,194,104
630,"Anna Accensi Abella",F,0,0
631,"Ezio Acchini",M,0,0
632,"Mario Acchini",M,0,0
633,"Martina Accola",F,170,62
634,"Paul Accola",M,176,82
635,"Alfredo Accorsi",M,0,0
636,"Enrique Accorsi Teuthorn",M,0,0
637,"Eusebio Acea Colarte",M,190,95
638,"Raidel Acea Morales",M,0,0
639,"Domingo Gmez-Acedo Villanueva",M,0,0
640,"Carmen Acedo Jorge",F,0,0
641,"Jos Aceituno",M,167,58
642,"Ervin S. Acel",M,0,0
643,"Marco Acerbi",M,190,74
644,"Claudia Acerenza Marez",F,160,55
645,"Elmer ngel Acevedo",M,0,0
646,"Anibl Santiago Acevedo",M,176,67
647,"Eyne Acevedo Tabares",M,0,67
648,"Fabio Acevedo",M,171,70
649,"Fernando Acevedo Portugues",M,175,65
650,"Javier Carlos Acevedo",M,182,68
651,"Jos Eduardo Acevedo Herrera",M,179,65
652,"Nicole Jocelin Acevedo Tangarife",F,166,70
